Salesforce Object,Field Label (UI),Field API Name,Cred Application Action,Screen / Tab,Create,Update,Notes
IndividualApplication,Form Type,PRM_FormType__c,Update Practitioner & Provider Information,Practitioner Information,No,Yes,IBC / AmeriHealth - CAQH / AmeriHealth - Universal
IndividualApplication,FHNatic Case Number,PRM_FHNaticCaseNumber__c,Update Practitioner & Provider Information,Practitioner Information,No,Yes,
IndividualApplication,Corporate Receipt Date,PRM_CorporateReceiptDate__c,Update Practitioner & Provider Information,Practitioner Information,No,Yes,
IndividualApplication,Form Completed By,PRM_FormCompletedBy__c,Update / Edit Contact Information,Primary Contact,No,Yes,Captured on the primary contact section
IndividualApplication,Primary Contact,PRM_PrimaryContact__c,Update / Edit Contact Information,Primary Contact,Yes,Yes,Lookup to the primary Credentialing Contact Account
IndividualApplication,Secondary Contact,PRM_SecondaryContact__c,Update / Edit Contact Information,Secondary Contact,Yes,Yes,Set when secondary = Yes; cleared when secondary = No
Account (Practitioner),First Name,FirstName,Update Practitioner & Provider Information,Practitioner Information,No,Yes,Person Account
Account (Practitioner),Middle Name,MiddleName,Update Practitioner & Provider Information,Practitioner Information,No,Yes,Person Account
Account (Practitioner),Last Name,LastName,Update Practitioner & Provider Information,Practitioner Information,No,Yes,Person Account
Account (Practitioner),Suffix,Suffix,Update Practitioner & Provider Information,Practitioner Information,No,Yes,Person Account
Account (Practitioner),Email,PersonEmail,Update Practitioner & Provider Information,Practitioner Information,No,Yes,Person Account
Account (Practitioner),Date of Birth,PersonBirthdate,Update Practitioner & Provider Information,Practitioner Information,No,Yes,Person Account
Account (Practitioner),Gender,PersonGenderIdentity,Update Practitioner & Provider Information,Practitioner Information,No,Yes,Male / Female / Unknown / Prefer not to share
Account (Practitioner),Practitioner Role,PRM_ProviderRole__c,Update Practitioner & Provider Information,Practitioner Information,No,Yes,Specialist / PCP / Dual
Account (Credentialing Contact),First Name,FirstName,Update / Edit Contact Information,Primary / Secondary Contact,Yes,Yes,Record type PRM_CredentialingContact; can pick existing or create new
Account (Credentialing Contact),Last Name,LastName,Update / Edit Contact Information,Primary / Secondary Contact,Yes,Yes,
