IA_Name,Mode
IA-0000011362,ModeA_NoPrimaryLocation
IA-0000012112,ModeA_NoPrimaryLocation
IA-0000012649,ModeA_NoPrimaryLocation
IA-0000015095,ModeA_NoPrimaryLocation
IA-0000015115,ModeA_NoPrimaryLocation
IA-0000015122,ModeA_NoPrimaryLocation
IA-0000015968,ModeA_NoPrimaryLocation
IA-0000016172,ModeA_NoPrimaryLocation
IA-0000021009,ModeA_NoPrimaryLocation
IA-0000021064,ModeA_NoPrimaryLocation
IA-0000022216,ModeA_NoPrimaryLocation
IA-0000022739,ModeA_NoPrimaryLocation
IA-0000022756,ModeA_NoPrimaryLocation
IA-0000023072,ModeA_NoPrimaryLocation
IA-0000023328,ModeA_NoPrimaryLocation
IA-0000023643,ModeA_NoPrimaryLocation
IA-0000023823,ModeA_NoPrimaryLocation
IA-0000023824,ModeA_NoPrimaryLocation
IA-0000023949,ModeA_NoPrimaryLocation
IA-0000024698,ModeA_NoPrimaryLocation
IA-0000025739,ModeA_NoPrimaryLocation
IA-0000030425,ModeA_NoPrimaryLocation
IA-0000032223,ModeA_NoPrimaryLocation
IA-0000033480,ModeA_NoPrimaryLocation
IA-0000039986,ModeA_NoPrimaryLocation
IA-0000052252,ModeA_NoPrimaryLocation
IA-0000056332,ModeB_AddressNotActiveOrPending
IA-0000056336,ModeA_NoPrimaryLocation
IA-0000061003,ModeA_NoPrimaryLocation
IA-0000061004,ModeA_NoPrimaryLocation
IA-0000061006,ModeA_NoPrimaryLocation
IA-0000061021,ModeA_NoPrimaryLocation
IA-0000065286,ModeA_NoPrimaryLocation
IA-0000076311,ModeB_AddressNotActiveOrPending
IA-0000078880,ModeB_AddressNotActiveOrPending
IA-0000079490,ModeA_NoPrimaryLocation
IA-0000081066,ModeB_AddressNotActiveOrPending
IA-0000082507,ModeB_AddressNotActiveOrPending
IA-0000082913,ModeA_NoPrimaryLocation
IA-0000082943,ModeA_NoPrimaryLocation
IA-0000083177,ModeA_NoPrimaryLocation
IA-0000085317,ModeA_NoPrimaryLocation
IA-0000086650,ModeA_NoPrimaryLocation
IA-0000089065,ModeA_NoPrimaryLocation
IA-0000089209,ModeA_NoPrimaryLocation
IA-0000090843,ModeA_NoPrimaryLocation
IA-0000091040,ModeB_AddressNotActiveOrPending
IA-0000092309,ModeB_AddressNotActiveOrPending
IA-0000096122,ModeA_NoPrimaryLocation
IA-0000101389,ModeB_AddressNotActiveOrPending
IA-0000101959,ModeB_AddressNotActiveOrPending
IA-0000106685,ModeB_AddressNotActiveOrPending
IA-0000106868,ModeB_AddressNotActiveOrPending
IA-0000107947,ModeA_NoPrimaryLocation
IA-0000108031,ModeB_AddressNotActiveOrPending
IA-0000109946,ModeB_AddressNotActiveOrPending
IA-0000114461,ModeB_AddressNotActiveOrPending
IA-0000114731,ModeB_AddressNotActiveOrPending
IA-0000114989,ModeA_NoPrimaryLocation
IA-0000115390,ModeA_NoPrimaryLocation
IA-0000116440,ModeB_AddressNotActiveOrPending
