IA_Name,Mode,Action,TargetType,TargetId,Detail
IA-0000150352,ModeB,SKIP,,,primary location not pending or no Primary/Practice address
IA-0000151978,ModeB,SET_ADDRESS_PENDING,Address,130UW00000MMyRnYAL,Meltzer Eye Care(675 US HIGHWAY 1 SOUTH GILL LANE-7444)
IA-0000023328,ModeA,PROMOTE_LOCATION,HCPF,0bSUW0000005vS32AI,Hunterdon Family Medicine Atyour Doctors Care(71 Us Highway 206-1887)
IA-0000151956,ModeA,PROMOTE_LOCATION,HCPF,0bSUW00000061pe2AA,Barnabas Health Medical Group North (888 Lyons Ave-7852)
IA-0000151911,ModeA,PROMOTE_LOCATION,HCPF,0bSUW0000006mQ12AI,Childrens Surgical Associates of NJ (101 Plainsboro Rd Test-1717)
IA-0000151720,ModeA,PROMOTE_LOCATION,HCPF,0bSUW0000006qPi2AI,Passaic Hospitalist Services LLC(703 Main St-2000)
IA-0000021064,ModeA,PROMOTE_LOCATION,HCPF,0bSUW00000071Sc2AI,Connolly Dermatology Delaware LLc(118 Atlantic Ave Ste 301-9900)
IA-0000150300,ModeA,PROMOTE_LOCATION,HCPF,0bSUW0000007D6r2AE,Personic Health Care LLC(1250 BALTIMORE PIKE-0254)
IA-0000011362,ModeA,PROMOTE_LOCATION,HCPF,0bSUW0000008in32AA,Hackettstown Emergency Medical Associates LLC(651 Willow Grove St-5100)
IA-0000012112,ModeA,PROMOTE_LOCATION,HCPF,0bSUW0000008oME2AY,MAIN LINE HLTHCR(100 E Lancaster Ave-4286)
IA-0000012649,ModeA,PROMOTE_LOCATION,HCPF,0bSUW0000008x4X2AQ,Anesti Plus Anesthesia (123 W GERMANTOWN PIKE SUITE 2-7456)
IA-0000015095,ModeA,PROMOTE_LOCATION,HCPF,0bSUW0000009X812AE,Haddon Emergency Physicians(1600 Haddon Ave-3803)
IA-0000015115,ModeA,SKIP,,,ambiguous: 3 locations, 3 usable - primary is a business decision
IA-0000015122,ModeA,SKIP,,,ambiguous: 3 locations, 3 usable - primary is a business decision
IA-0000015968,ModeA,PROMOTE_LOCATION,HCPF,0bSUW0000009grF2AQ,RWJBH Observation Associates LLC(99 Route 37 W-8988)
IA-0000016172,ModeA,PROMOTE_LOCATION,HCPF,0bSUW0000009krd2AA,Morristown Emergency Medical Associates LLC(100 Madison Ave-5000)
