"Section","PSV Step","Field Name","Type","Required for NCQA?","Vendor — In Sample?","Vendor — In Full Feed?","Vendor — Source Authority","Vendor — Refresh Cadence","Vendor — Comments","IBX Maps To"
"§2.1 Demographic","Identity","NPI","Text(10)","Yes","Yes","","","","","HealthcareProviderNpi.Npi"
"§2.1 Demographic","Identity","Full Name","Text(255)","Yes","Yes","","","","","Contact.Name / Account.Name"
"§2.1 Demographic","Identity","First Name","Text(40)","Yes","Yes","","","","","Contact.FirstName"
"§2.1 Demographic","Identity","Middle Name","Text(40)","Recommended","Yes","","","","","Contact.MiddleName"
"§2.1 Demographic","Identity","Last Name","Text(80)","Yes","Yes","","","","","Contact.LastName"
"§2.1 Demographic","Identity","Title (degree suffix)","Text(40)","Yes","Yes","","","","","Contact.Title / Account.PersonTitle"
"§2.1 Demographic","Identity","Organization Name (Org NPI)","Text(255)","Yes (org)","Yes","","","","","Account.Name"
"§2.1 Demographic","Identity","Other / DBA Name","Text(255)","Recommended","Yes","","","","","Account.PRM_DoingBusinessAsName__c"
"§2.1 Demographic","Identity","Entity Type","Picklist (Individual, Organization)","Yes","Yes","","","","","Account.IsPersonAccount"
"§2.1 Demographic","Identity","Entity Type Code (NPPES 1/2)","Text(1)","Yes","Yes","","","","","Derived"
"§2.1 Demographic","Identity","Authorized Official Contact Name (Org)","Text(255)","Yes (org)","Yes","","","","","Account.PRM_ContactPersonRole__c+Contact"
"§2.1 Demographic","Identity","Authorized Official Contact Title (Org)","Text(255)","Yes (org)","Yes","","","","","Contact.Title"
"§2.1 Demographic","Identity","Authorized Official Phone (Org)","Phone(40)","Yes (org)","Yes","","","","","Account.Phone"
"§2.1 Demographic","Identity","NPI Enumeration Date","Date","Yes","Yes","","","","","HealthcareProviderNpi.EffectiveFrom (source date)"
"§2.1 Demographic","Identity","NPI Deactivation Date","Date","Recommended","Yes","","","","","(new)"
"§2.1 Demographic","Identity","NPI Reactivation Date","Date","Recommended","Yes","","","","","(new)"
"§2.1 Demographic","Specialty","Primary Specialty","Text(255)","Yes","Yes","","","","","Account.PRM_ProviderSpecialties__c / CareTaxonomy.Name"
"§2.1 Demographic","CMS","CCN (CMS Certification Number)","Text(10)","Yes (facility)","Yes","","","","","Identifier"
"§2.1 Demographic","Medicare Opt-Out","Medicare Opt-Out","Yes/No","Yes","Yes","","","","","Replaces VerifyMedicareOptOut step"
"§2.2 Addresses","Service Area","Address Type (Practice/Billing)","Picklist","Yes","Yes (Mailing missing)","","","","","Address.PRM_AddressType__c"
"§2.2 Addresses","Service Area","Address Line 1","Text(60)","Yes","Yes","","","","","Address.PRM_AddressLine1__c"
"§2.2 Addresses","Service Area","Address Line 2","Text(60)","Recommended","Yes","","","","","Address.PRM_AddressLine2__c"
"§2.2 Addresses","Service Area","City","Text(60)","Yes","Yes","","","","","Address.PRM_City__c"
"§2.2 Addresses","Service Area","State","Picklist (US states)","Yes","Yes","","","","","Address.PRM_State__c"
"§2.2 Addresses","Service Area","County","Text(255)","Yes","Yes","","","","","Address.PRM_County__c"
"§2.2 Addresses","Service Area","ZIP (5)","Text(5)","Yes","Yes","","","","","Address.PRM_Zip__c"
"§2.2 Addresses","Directory","Phone","Phone(40)","Yes","Yes","","","","","Address.PRM_Phone__c"
"§2.2 Addresses","Data Currency","Update Datetime","Datetime","Recommended","Yes","","","","","(vendor refresh timestamp)"
"§2.2 Addresses","Member Search","Latitude","Decimal","Recommended","Yes","","","","","Address.PRM_Geolocation__c"
"§2.2 Addresses","Member Search","Longitude","Decimal","Recommended","Yes","","","","","Address.PRM_Geolocation__c"
"§2.3 Taxonomy","Specialty","Taxonomy Grouping","Picklist","Yes","Yes","","","","","CareTaxonomy.PRM_TaxonomyGrouping__c"
"§2.3 Taxonomy","Specialty","Specialty (specialization)","Picklist","Yes","Yes","","","","","CareTaxonomy.PRM_TaxonomySpecialization__c"
"§2.3 Taxonomy","Specialty","Taxonomy Code (NUCC X12)","Text(18)","Yes","Yes","","","","","CareTaxonomy.TaxonomyCode"
"§2.3 Taxonomy","Specialty","Primary Taxonomy Flag","Boolean","Yes","Yes","","","","","HealthcareProviderTaxonomy.IsPrimaryTaxonomy"
"§3.1 Tax ID/EIN","Service Area / PDM","Tax ID (EIN)","Text(9)","Yes","No","","","","","Identifier.IdValue where PRM_Type__c='EIN - Tax Id'"
"§3.1 Tax ID/EIN","Service Area / PDM","Tax ID Type","Picklist (EIN, SSN-based)","Yes","No","","","","","Identifier.PRM_Type__c"
"§3.1 Tax ID/EIN","Service Area / PDM","Tax ID Effective Date","Date","Recommended","No","","","","","(new)"
"§3.1 Tax ID/EIN","Service Area / PDM","Tax ID Termination Date","Date","Recommended","No","","","","","(new)"
"§3.1 Tax ID/EIN","Service Area / PDM","Tax ID Group Practice Name","Text(255)","Yes (group)","No","","","","","Account.Name (group)"
"§3.1 Tax ID/EIN","Service Area / PDM","Tax ID ↔ NPI link","Relationship","Yes","No","","","","","HealthcareProviderNpi ↔ Identifier"
"§3.1 Tax ID/EIN","Service Area / PDM","Tax ID ↔ Practice Address link","Relationship","Yes","No","","","","","Address ↔ Identifier"
"§3.1 Tax ID/EIN","Service Area / PDM","Authorized Official for Tax ID","Text(255)","Yes (org)","No","","","","","Account.PRM_PayeeName__c"
"§3.2 DEA","DEA Verify","DEA Number","Text(9)","Yes (prescribers)","No","","","","","Identifier.IdValue (PRM_Type__c='DEA' — extend)"
"§3.2 DEA","DEA Verify","DEA Issue Date","Date","Yes","No","","","","","(new)"
"§3.2 DEA","DEA Verify","DEA Expiration Date","Date","Yes","No","","","","","(new)"
"§3.2 DEA","DEA Verify","DEA State","Picklist","Yes","No","","","","","Identifier.PRM_LicenseState__c"
"§3.2 DEA","DEA Verify","DEA Schedules","Multi-Picklist (II,IIN,III,IIIN,IV,V)","Yes","No","","","","","(new)"
"§3.2 DEA","DEA Verify","DEA Status","Picklist (Active, Surrendered, Suspended, Revoked, Restricted)","Yes","No","","","","","(new)"
"§3.2 DEA","DEA Verify","DEA Registered Address","Address","Recommended","No","","","","","(new)"
"§3.2 DEA","DEA Verify","DEA Business Activity Code","Text(10)","Recommended","No","","","","","(new)"
"§3.3 CDS","CDS Verify","CDS Number","Text(50)","Yes (prescribers)","No","","","","","Identifier.IdValue (PRM_Type__c='CDS' — extend)"
"§3.3 CDS","CDS Verify","CDS State","Picklist","Yes","No","","","","","Identifier.PRM_LicenseState__c"
"§3.3 CDS","CDS Verify","CDS Effective Date","Date","Yes","No","","","","","(new)"
"§3.3 CDS","CDS Verify","CDS Expiration Date","Date","Yes","No","","","","","(new)"
"§3.3 CDS","CDS Verify","CDS Status","Picklist","Yes","No","","","","","(new)"
"§3.3 CDS","CDS Verify","CDS Schedules","Multi-Picklist","Recommended","No","","","","","(new)"
"§3.4 License (enhanced)","License Verify","License Number","Text(255)","Yes","Yes","","","","","BusinessLicense.LicenseNumber"
"§3.4 License (enhanced)","License Verify","License State","Picklist","Yes","Yes","","","","","BusinessLicense.PRM_LicenseState__c"
"§3.4 License (enhanced)","License Verify","License Effective Date","Date","Yes","Yes","","","","","BusinessLicense.PRM_ProviderLicenseEffectiveDate__c"
"§3.4 License (enhanced)","License Verify","License Expiration Date","Date","Yes","Yes","","","","","BusinessLicense.PRM_ProviderLicenseExpirationDate__c"
"§3.4 License (enhanced)","License Verify","License Active Flag","Boolean","Yes","Yes","","","","","BusinessLicense.Status"
"§3.4 License (enhanced)","License Verify","License Class (MD/DO/CRNP/PA-C/etc.)","Picklist","Yes","No","","","","","BusinessLicense.LicenseClass"
"§3.4 License (enhanced)","License Verify","License Issue Date","Date","Yes","No","","","","","BusinessLicense.IssueDate"
"§3.4 License (enhanced)","License Verify","License Status Detail","Picklist (Active, Probation, Suspended, Revoked, Surrendered, Inactive, Lapsed)","Yes","No","","","","","BusinessLicense.Status"
"§3.4 License (enhanced)","License Verify","Disciplinary Action Indicator","Boolean","Yes","No","","","","","(new)"
"§3.4 License (enhanced)","License Verify","Disciplinary Action Effective Date","Date","Yes","No","","","","","(new)"
"§3.4 License (enhanced)","License Verify","License Restrictions","Text Area(2000)","Yes","No","","","","","(new)"
"§3.4 License (enhanced)","License Verify","Issuing Authority Name","Text(255)","Yes","Partial","","","","","BusinessLicense.Issuer"
"§3.4 License (enhanced)","License Verify","License Jurisdiction Type","Picklist (State, Country, Province)","Recommended","Partial","","","","","BusinessLicense.JurisdictionType"
"§3.4 License (enhanced)","License Verify","Primary License Indicator","Boolean","Recommended","No","","","","","BusinessLicense.IsPrimaryLicense"
"§3.4 License (enhanced)","License Verify","Source Verified On","Datetime","Yes","No","","","","","BusinessLicense.VerifiedDate"
"§3.4 License (enhanced)","License Verify","Verification Source","Text(64)","Yes","No","","","","","(new)"
"§3.5 Board Certifications","Board Cert Verify","Board Name","Text(255)","Yes","No","","","","","BoardCertification.BoardName"
"§3.5 Board Certifications","Board Cert Verify","Board Issuing Organization","Picklist (ABMS, AOA, Other)","Yes","No","","","","","(new)"
"§3.5 Board Certifications","Board Cert Verify","Certification Type","Picklist (23 specialty values)","Yes","No","","","","","BoardCertification.CertificationType"
"§3.5 Board Certifications","Board Cert Verify","Certificate Identifier","Text(255)","Yes","No","","","","","(new)"
"§3.5 Board Certifications","Board Cert Verify","Original Certification Date","Date","Yes","No","","","","","BoardCertification.PRM_BoardOriginal__c"
"§3.5 Board Certifications","Board Cert Verify","Most Recent Re-Cert Date","Date","Yes","No","","","","","BoardCertification.PRM_BoardReCert__c"
"§3.5 Board Certifications","Board Cert Verify","Current Certification Date","Date","Yes","No","","","","","BoardCertification.CurrentCertificationDate"
"§3.5 Board Certifications","Board Cert Verify","Certification Expiration Date","Date","Yes","No","","","","","BoardCertification.ExpirationDate"
"§3.5 Board Certifications","Board Cert Verify","Board Certification Status","Picklist (Certified, Not Certified, MOC In Progress, Lapsed, Suspended, Revoked)","Yes","No","","","","","BoardCertification.Status"
"§3.5 Board Certifications","Board Cert Verify","Sub-Specialty","Text(255)","Recommended","No","","","","","(new)"
"§3.5 Board Certifications","Board Cert Verify","MOC Status","Picklist","Yes","No","","","","","(new)"
"§3.5 Board Certifications","Board Cert Verify","Source Verified On","Datetime","Yes","No","","","","","(new)"
"§3.5 Board Certifications","Board Cert Verify","Verification Source","Text(64) (ABMS / AOA / direct)","Yes","No","","","","","(new)"
"§3.6 Education","Education Verify","Education Level","Picklist (17 values)","Yes","No","","","","","PersonEducation.EducationLevel"
"§3.6 Education","Education Verify","Degree Name","Text(255)","Yes","No","","","","","PersonEducation.Name"
"§3.6 Education","Education Verify","Institution Name","Text(255)","Yes","No","","","","","PersonEducation.PRM_Institution__c"
"§3.6 Education","Education Verify","Institution Address","Address","Recommended","No","","","","","(new)"
"§3.6 Education","Education Verify","Education Specialty","Text(255)","Recommended","No","","","","","PersonEducation.PRM_EducationSpecialty__c"
"§3.6 Education","Education Verify","Start Date","Date","Yes","No","","","","","PersonEducation.PRM_StartDate__c"
"§3.6 Education","Education Verify","End Date","Date","Yes","No","","","","","PersonEducation.PRM_EndDate__c"
"§3.6 Education","Education Verify","Graduation / Completion Date","Date","Yes","No","","","","","PersonEducation.CompletionDate"
"§3.6 Education","Education Verify","Completion Status","Picklist (Completed, In Progress, Withdrew, Dismissed)","Yes","No","","","","","PersonEducation.PRM_Completed__c"
"§3.6 Education","Education Verify","Certificate Identifier","Text(255)","Recommended","No","","","","","PersonEducation.CertificateIdentifier"
"§3.6 Education","Education Verify","Program Name","Text(255)","Recommended","No","","","","","PersonEducation.ProgramName"
"§3.6 Education","Education Verify","Primary Indicator","Boolean","Recommended","No","","","","","PersonEducation.PRM_Primary__c"
"§3.6 Education","Education Verify","Source Verified On","Datetime","Yes","No","","","","","PersonEducation.VerifiedDate"
"§3.6 Education","Education Verify","Verification Source","Text(64)","Yes","No","","","","","(new)"
"§3.7 Work History","Work History Verify","Employer Name","Text(255)","Yes","No","","","","","(new)"
"§3.7 Work History","Work History Verify","Employer Address Line 1","Text(60)","Yes","No","","","","","(new)"
"§3.7 Work History","Work History Verify","Employer Address Line 2","Text(60)","Recommended","No","","","","","(new)"
"§3.7 Work History","Work History Verify","Employer City","Text(60)","Yes","No","","","","","(new)"
"§3.7 Work History","Work History Verify","Employer State","Picklist","Yes","No","","","","","(new)"
"§3.7 Work History","Work History Verify","Employer Zip","Text(5)","Yes","No","","","","","(new)"
"§3.7 Work History","Work History Verify","Employer Phone","Phone(40)","Recommended","No","","","","","(new)"
"§3.7 Work History","Work History Verify","Employer Type","Picklist (Hospital, Group, Solo, Academic, Locum, Govt, Military)","Recommended","No","","","","","(new)"
"§3.7 Work History","Work History Verify","Position / Title","Text(255)","Yes","No","","","","","(new)"
"§3.7 Work History","Work History Verify","Start Date","Date","Yes","No","","","","","(new)"
"§3.7 Work History","Work History Verify","End Date","Date","Yes","No","","","","","(new)"
"§3.7 Work History","Work History Verify","Is Current Employer","Boolean","Yes","No","","","","","(new)"
"§3.7 Work History","Work History Verify","Reason for Leaving","Text(255)","Recommended","No","","","","","(new)"
"§3.7 Work History","Work History Verify","Gap Indicator","Boolean","Yes (NCQA gap rule)","No","","","","","(new)"
"§3.8 Malpractice Insurance","Insurance Verify","Carrier Name","Text(255)","Yes","No","","","","","(new)"
"§3.8 Malpractice Insurance","Insurance Verify","Policy Number","Text(100)","Yes","No","","","","","(new)"
"§3.8 Malpractice Insurance","Insurance Verify","Policy Type","Picklist (Occurrence, Claims-Made, Tail Coverage)","Yes","No","","","","","(new)"
"§3.8 Malpractice Insurance","Insurance Verify","Per-Occurrence Limit","Currency","Yes","No","","","","","(new)"
"§3.8 Malpractice Insurance","Insurance Verify","Per-Aggregate Limit","Currency","Yes","No","","","","","(new)"
"§3.8 Malpractice Insurance","Insurance Verify","Policy Effective Date","Date","Yes","No","","","","","(new)"
"§3.8 Malpractice Insurance","Insurance Verify","Policy Expiration Date","Date","Yes","No","","","","","(new)"
"§3.8 Malpractice Insurance","Insurance Verify","Insured Name","Text(255)","Yes","No","","","","","(new)"
"§3.8 Malpractice Insurance","Insurance Verify","Coverage Type","Picklist (Individual, Group, Hospital Self-Insured, Govt Self-Insured)","Yes","No","","","","","(new)"
"§3.8 Malpractice Insurance","Insurance Verify","Tail / Prior Acts Coverage","Boolean","Recommended","No","","","","","(new)"
"§3.8 Malpractice Insurance","Insurance Verify","Continuous Coverage Indicator","Boolean","Yes (5-year)","No","","","","","(new)"
"§3.8 Malpractice Insurance","Insurance Verify","Lapse Periods","Text Area(2000)","Yes (if not continuous)","No","","","","","(new)"
"§3.8 Malpractice Insurance","Insurance Verify","Source Verified On","Datetime","Yes","No","","","","","(new)"
"§3.8 Malpractice Insurance","Insurance Verify","Verification Source","Text(64)","Yes","No","","","","","(new)"
"§3.9 Hospital Affiliations","Admitting Privileges","Facility Type","Picklist","Yes","Yes","","","","","HealthcareFacility.PRM_VendorType__c"
"§3.9 Hospital Affiliations","Admitting Privileges","Facility Name","Text(255)","Yes","Yes","","","","","HealthcareFacility.Name"
"§3.9 Hospital Affiliations","Admitting Privileges","Facility Address","Address","Yes","Yes","","","","","Address ↔ Facility"
"§3.9 Hospital Affiliations","Admitting Privileges","Hospital NPI","Text(10)","Yes","No","","","","","HealthcareFacility ↔ HealthcareProviderNpi"
"§3.9 Hospital Affiliations","Admitting Privileges","Hospital Tax ID","Text(9)","Yes","No","","","","","(see §3.1)"
"§3.9 Hospital Affiliations","Admitting Privileges","Affiliation Start Date","Date","Yes","No","","","","","HealthcarePractitionerFacility.InitialStartDate"
"§3.9 Hospital Affiliations","Admitting Privileges","Affiliation End Date","Date","Yes","No","","","","","HealthcarePractitionerFacility.TerminationDate"
"§3.9 Hospital Affiliations","Admitting Privileges","Staff Category","Picklist (Active, Courtesy, Consulting, Honorary, Provisional, Affiliate, Telemedicine, Allied Health)","Yes","No","","","","","(new)"
"§3.9 Hospital Affiliations","Admitting Privileges","Privilege Status","Picklist (Unrestricted, Temporary, Provisional, Restricted, Suspended, Surrendered, Revoked, Denied)","Yes","No","","","","","(new)"
"§3.9 Hospital Affiliations","Admitting Privileges","Admitting Rights Indicator","Boolean","Yes","No","","","","","HealthcarePractitionerFacility.RecordType"
"§3.9 Hospital Affiliations","Admitting Privileges","Restrictions Free-text","Text Area(2000)","Yes","No","","","","","(new)"
"§3.9 Hospital Affiliations","Admitting Privileges","Department / Service","Text(255)","Recommended","No","","","","","(new)"
"§3.9 Hospital Affiliations","Admitting Privileges","Who Admits For You","Text(255)","Yes (if no admit rights)","No","","","","","(new)"
"§3.9 Hospital Affiliations","Admitting Privileges","Termination Reason","Picklist","Recommended","No","","","","","HealthcarePractitionerFacility.TerminationReason"
"§3.9 Hospital Affiliations","Admitting Privileges","Source Verified On","Datetime","Yes","No","","","","","(new)"
"§3.9 Hospital Affiliations","Admitting Privileges","Verification Source","Text(64)","Yes","No","","","","","(new)"
"§3.10 NPDB Malpractice/Adverse","NPDB Results","Event Type","Picklist (12 NPDB categories)","Yes (NPDB)","No","","","","","(new)"
"§3.10 NPDB Malpractice/Adverse","NPDB Results","Event Date","Date","Yes","No","","","","","(new)"
"§3.10 NPDB Malpractice/Adverse","NPDB Results","Action / Settlement Date","Date","Yes","No","","","","","(new)"
"§3.10 NPDB Malpractice/Adverse","NPDB Results","Reporting Entity Name","Text(255)","Yes","No","","","","","(new)"
"§3.10 NPDB Malpractice/Adverse","NPDB Results","Reporting Entity Type","Picklist","Yes","No","","","","","(new)"
"§3.10 NPDB Malpractice/Adverse","NPDB Results","Action Type Code","Picklist (NPDB action codes)","Yes","No","","","","","(new)"
"§3.10 NPDB Malpractice/Adverse","NPDB Results","Action Type Description","Text(255)","Yes","Partial","","","","","(new)"
"§3.10 NPDB Malpractice/Adverse","NPDB Results","Payment Amount","Currency","Yes","No","","","","","(new)"
"§3.10 NPDB Malpractice/Adverse","NPDB Results","Payment Type","Picklist (Settlement, Judgment, Arbitration, Other)","Yes","No","","","","","(new)"
"§3.10 NPDB Malpractice/Adverse","NPDB Results","Allegations","Text Area(4000)","Yes","No","","","","","(new)"
"§3.10 NPDB Malpractice/Adverse","NPDB Results","Severity Code","Picklist (NPDB 1-9)","Recommended","No","","","","","(new)"
"§3.10 NPDB Malpractice/Adverse","NPDB Results","Outcome Code","Picklist","Recommended","No","","","","","(new)"
"§3.10 NPDB Malpractice/Adverse","NPDB Results","Practitioner Role","Picklist (Sole, Co-Defendant, Released, Dismissed)","Yes","No","","","","","(new)"
"§3.10 NPDB Malpractice/Adverse","NPDB Results","State of Action","Picklist","Yes","Partial","","","","","(new)"
"§3.10 NPDB Malpractice/Adverse","NPDB Results","DCN / NPDB Report ID","Text(40)","Recommended","No","","","","","(new)"
"§3.10 NPDB Malpractice/Adverse","NPDB Results","Source Verified On","Datetime","Yes","No","","","","","(new)"
"§3.10 NPDB Malpractice/Adverse","NPDB Results","Verification Source","Text(64)","Yes","No","","","","","(new)"
"§3.12 Mailing/Fax/ZIP+4","Directory / PDM","Address Type — Mailing","Picklist value","Yes","No","","","","","Address.PRM_AddressType__c='Mailing'"
"§3.12 Mailing/Fax/ZIP+4","Directory / PDM","Fax","Phone(40)","Yes","No","","","","","Address.PRM_Fax__c / Account.Fax"
"§3.12 Mailing/Fax/ZIP+4","Directory / PDM","ZIP+4","Text(4)","Yes","No","","","","","Address.PRM_Zip4__c"
"§3.12 Mailing/Fax/ZIP+4","Directory / PDM","Phone Extension","Text(5)","Recommended","No","","","","","Address.PRM_PhoneExtension__c"
"§3.12 Mailing/Fax/ZIP+4","Directory","Provider Email (work)","Email","Yes","No","","","","","Contact.Email / Account.PersonEmail"
"§3.12 Mailing/Fax/ZIP+4","Directory","Provider Mobile Phone","Phone(40)","Recommended","No","","","","","Account.PersonMobilePhone"
"§3.12 Mailing/Fax/ZIP+4","Directory","Office Email","Email","Recommended","No","","","","","HealthcareFacility.PRM_OfficeEmail__c"
"§3.12 Mailing/Fax/ZIP+4","Directory","Website URL","URL","Recommended","No","","","","","HealthcareFacility.PRM_WebsiteAddress__c"
"§3.13 Languages/Cultural","Directory","Languages Spoken","Multi-Picklist (ISO)","Yes","No","","","","","PersonLanguage.Language"
"§3.13 Languages/Cultural","Directory","Speaking Proficiency","Picklist","Recommended","No","","","","","PersonLanguage.SpeakingProficiencyLevel"
"§3.13 Languages/Cultural","Directory","Writing Proficiency","Picklist","Recommended","No","","","","","PersonLanguage.WritingProficiencyLevel"
"§3.13 Languages/Cultural","Directory","Personal Pronoun","Picklist","Recommended","No","","","","","ContactProfile.PRM_PersonalPronoun__c"
"§3.13 Languages/Cultural","Directory","Hispanic / Latino","Picklist","Recommended","No","","","","","ContactProfile.PRM_HispanicLatino__c"
"§3.13 Languages/Cultural","Directory","Hispanic Origin","Picklist","Recommended","No","","","","","ContactProfile.PRM_HispanicOrigin__c"
"§3.13 Languages/Cultural","Directory","Race","Multi-Picklist","Recommended","No","","","","","ContactProfile.Race"
"§3.13 Languages/Cultural","Directory","Ethnicity","Picklist (multi)","Recommended","No","","","","","ContactProfile.PRM_Ethnicity__c"
"§3.13 Languages/Cultural","Directory","Gender Identity","Picklist","Recommended","No","","","","","Contact.GenderIdentity"
"§3.14 Patient Acceptance","Service Area Verify","Accepting New Patients","Picklist (Open New, Open Existing, Closed)","Yes","No","","","","","HealthcareFacilityNetwork.PanelStatus"
"§3.14 Patient Acceptance","Service Area Verify","Patient Age Minimum","Number","Yes","No","","","","","HealthcareFacility.PRM_AgeMin__c"
"§3.14 Patient Acceptance","Service Area Verify","Patient Age Min Unit","Picklist (Months, Years)","Yes","No","","","","","HealthcareFacility.PRM_AgeMinUnit__c"
"§3.14 Patient Acceptance","Service Area Verify","Patient Age Maximum","Number","Yes","No","","","","","HealthcareFacility.PRM_AgeMax__c"
"§3.14 Patient Acceptance","Service Area Verify","Patient Age Max Unit","Picklist","Yes","No","","","","","HealthcareFacility.PRM_AgeMaxUnit__c"
"§3.14 Patient Acceptance","Service Area Verify","Gender Restriction","Picklist (M, F, None)","Recommended","No","","","","","HealthcarePractitionerFacility.GenderRestriction"
"§3.14 Patient Acceptance","Service Area Verify","Provider Role at Location","Picklist (PCP, Specialist, Dual)","Yes","No","","","","","HealthcarePractitionerFacility.PRM_PractitionerRole__c"
"§3.14 Patient Acceptance","Service Area Verify","E-Prescribe Enabled","Boolean","Recommended","No","","","","","HealthcarePractitionerFacility.PRM_ERX__c"
"§3.15 Identity (Unmasked)","Identity","DOB (unmasked)","Date","Yes","No (masked)","","","","","Contact.Birthdate / Account.PersonBirthdate"
"§3.15 Identity (Unmasked)","Identity","SSN last-4","Text(4)","Yes","No (masked)","","","","","(new — under BAA)"
"§3.15 Identity (Unmasked)","Identity","SSN full","Text(9)","No (out of scope)","No","","","","","Do NOT request"
"§3.16 Facility Accreditation","Ancillary Verify Accreditation","Accrediting Organization","Picklist (JCAHO/ACHC/AAAHC/etc.)","Yes (facility)","No","","","","","PRM_AncillaryAssessment__c.PRM_NameoftheAccreditingOrganization__c"
"§3.16 Facility Accreditation","Ancillary Verify Accreditation","Accreditation Status","Picklist","Yes","No","","","","","(new)"
"§3.16 Facility Accreditation","Ancillary Verify Accreditation","Accreditation Effective Date","Date","Yes","No","","","","","PRM_AncillaryAssessment__c.PRM_AccreditationEffectiveDate__c"
"§3.16 Facility Accreditation","Ancillary Verify Accreditation","Accreditation Expiration Date","Date","Yes","No","","","","","PRM_AncillaryAssessment__c.PRM_AccreditationExpirationDate__c"
"§3.16 Facility Accreditation","Ancillary Verify Accreditation","Accreditation Scope / Service Type","Multi-Picklist","Recommended","No","","","","","(new)"
"§3.16 Facility Accreditation","Ancillary Verify Accreditation","Last Survey Date","Date","Recommended","No","","","","","PRM_AncillaryAssessment__c.PRM_DateoflastCMSorStateSurvey__c"
"§3.16 Facility Accreditation","Ancillary Verify Accreditation","Source Verified On","Datetime","Yes","No","","","","","(new)"
"§3.16.2 Facility CMS","Ancillary CMS Verify","CCN (already in Demographic)","Text(10)","Yes (facility)","Yes","","","","","Identifier"
"§3.16.2 Facility CMS","Ancillary CMS Verify","CMS Quality Star Rating (facility)","Number","Recommended","No","","","","","(net-new)"
"§3.16.2 Facility CMS","Ancillary CMS Verify","QCOR Inspection Findings","Text Area","Recommended","No","","","","","(net-new)"
"§3.16.2 Facility CMS","Ancillary CMS Verify","Survey Deficiencies","Text Area","Recommended","No","","","","","(net-new)"
"§3.16.2 Facility CMS","Ancillary CMS Verify","Licensed Bed Count","Number","Recommended","No","","","","","HealthcareFacility.LicensedBedCount"
"§3.16.2 Facility CMS","Ancillary CMS Verify","Medicare-Certified Bed Count","Number","Recommended","No","","","","","PRM_AncillaryAssessment__c.PRM_MedicareCertifiedBeds__c"
"§4 NCQA Metadata","All steps","Source Authority Name","Text(255)","Yes (NCQA)","No","","","","","(per-row metadata)"
"§4 NCQA Metadata","All steps","Source Authority URL","URL","Recommended","No","","","","","(per-row metadata)"
"§4 NCQA Metadata","All steps","Source Verified On Timestamp","Datetime","Yes (NCQA)","No","","","","","(per-row metadata)"
"§4 NCQA Metadata","All steps","Vendor Internal Confidence Score","Number 0-100","Recommended","No","","","","","(per-row metadata)"
"§4 NCQA Metadata","All steps","Field-Level Refresh Cadence","Picklist (Real-time/Daily/Weekly/Monthly/Quarterly/Annual/On-Demand)","Yes","No","","","","","(per-row metadata)"
"§4 NCQA Metadata","All steps","Data Provenance Chain","Text","Recommended","No","","","","","(per-row metadata)"
"§4 NCQA Metadata","All steps","Last Successful Refresh","Datetime","Yes","Partial (Addresses only)","","","","","(per-row metadata)"
